gameobj_fielID,0,0
gameobj_pathID,0,0
gameobj_enabled,1,1
script_fielID,2,2
script_pathID,1505,1505
script_name,jp,jp
LANGUAGE_CODE,English,中文
CHAT_HAS_JOINED,[HAS JOINED],『已加入』
CHAT_HOST_RESTART,Requesting Host Restart,请求主机重启
CHAT_IS_HOSTING,[IS HOSTING NOW],『创建主机中』
CUSTOM_CAMPAIGN_BEST,BEST,最佳
CUSTOM_CAMPAIGN_BROTAL,BROTAL,兄残
CUSTOM_CAMPAIGN_CHALLENGING,CHALLENGING,挑战
CUSTOM_CAMPAIGN_DESCRIPTION_1,Hot off the presses!,新鲜出炉！
CUSTOM_CAMPAIGN_DESCRIPTION_2,The Best of the Best!,精品中的精品！
CUSTOM_CAMPAIGN_DESCRIPTION_3,Hippest Map Around,周围最嬉闹的地图
CUSTOM_CAMPAIGN_DESCRIPTION_4,"You just Can’t Get Enough Of these guys, can you?",你永远不会厌倦这些家伙，对吧？
CUSTOM_CAMPAIGN_DESCRIPTION_5,Suppose you have to play these maps...,你必须玩这些地图……
CUSTOM_CAMPAIGN_DESCRIPTION_6,Weekend Workshop Brodown Competition Winners,周末工坊兄贵赛获胜者
CUSTOM_CAMPAIGN_DESCRIPTION_7,Unpublished and Locally Saved Maps,保存在本地的未发布地图
CUSTOM_CAMPAIGN_DOWNLOADING,DOWNLOADING,下载中
CUSTOM_CAMPAIGN_NODESCRIP,No Description Provided,没有描述
CUSTOM_CAMPAIGN_TRENDING,TRENDING,热度
CUSTOM_CAMPAIGN_VOTES,VOTES,票数
CUTSCENE_ACIDCRAWLER,BLRRGGGGG,BLRRGGGGG
CUTSCENE_BONEWURM,TORQUED FOR TERROR,扭转恐怖
CUTSCENE_BOOMER,TACO HELL,墨西哥卷饼地狱
CUTSCENE_BRO_UNLOCK,JOINS THE BATTLE,加入战斗
CUTSCENE_BRUISER,THE PINNACLE OF TERRORIST GYMING TECHNOLOGY,恐怖健身技术的巅峰
CUTSCENE_DEATHFIELD,"A FORCEFIELD, BUT DEATHLIER",更为致命的军团根据地
CUTSCENE_EXECUTIONERS,THE PINNACLE OF UNDEAD GYMING TECHNOLOGY,不死健身技术的巅峰
CUTSCENE_GR666,DO YOU HEAR ME?,听见了吗？
CUTSCENE_HEART_OF_HIVE,THE WEAK SPOT DEEP IN THE INFESTED CAVES,虫灾洞穴深处的弱点
CUTSCENE_HUMONGOCRAWLER,BAD BREATH,难闻气味
CUTSCENE_JESUS_1,"Broforce, before you go, I want to
introduce you to someone...","兄贵军团，在你出发前，我想介绍你认识一
个人……"
CUTSCENE_JESUS_2,"Hello, friend. I must ask one last thing of you.",你好，朋友。我要问你最后一件事。
CUTSCENE_JESUS_3,"The Earth is now free of terrorism, 
and finally at peace.",恐怖主义的威胁已消失，地球终于获得了和平。
CUTSCENE_JESUS_4,"An American fast food restaurant is on every
Street corner, and American is spoken everywhere --",美式快餐馆开满了大街小巷，而且全世界都在学美国话——
CUTSCENE_JESUS_5,-- even in England.,——就连英国人的话也越来越美国化。
CUTSCENE_JESUS_6,There is nothing left to do here for a soldier.,这里已经没有战士的事情了。
CUTSCENE_JESUS_7,"Come with me, and live in peace...",跟我来，回归平静的生活吧……
CUTSCENE_JESUS_8,...in Texas.,……地点在德克萨斯。
CUTSCENE_MEGACOCKTER,OVERCOMPENSATE MUCH?,矫枉过正？
CUTSCENE_PRESIDENT_1,"Ah, Broforce. You have done the impossible.",厉害了，兄贵军团。你们完成了不可能的任务。
CUTSCENE_PRESIDENT_2,"You have brought liberty, and justice,
and peace to the world.",你们把自由、正义以及和平带给了世界。
CUTSCENE_PRESIDENT_3,"After all you have done, I have but one 
more request. High five me, Bro!",我还有个请求，就是跟我来次击掌，兄贵！
CUTSCENE_PRESIDENT_4,"World leaders have voted unanimously
to elect you grand emperor of the world!",各国首脑都一致同意推举你们为世界之王！
CUTSCENE_PRESIDENT_5,"Gentlemen, a ceremony held in your honor awaits!",绅士们，为你们举行的典礼正等着你们呢！
CUTSCENE_PRESIDENT_6,"How did you know that was a lizardman imposter!?
Thanks all the same!","你怎么知道那是冒牌蜥蜴人！？
总之谢谢你了！"
CUTSCENE_RAILFORTRESS,DEATH FROM EVERYWHERE,尸横遍野
CUTSCENE_SATAN,LORD OF TERROR,恐怖之王
CUTSCENE_SKYFORTRESS,DEATH FROM ABOVE,天降死神
CUTSCENE_STEALTHTANK,SURPRIZE!,惊喜！
CUTSCENE_TERRORBOT,WHAT IS LOVE?,爱为何物？
CUTSCENE_TERRORKANNON,TAKING TERRORISM TO NEW HEIGHTS,将恐怖主义带向新高度
CUTSCENE_TERRORKOPTER,AIR SUPERIORITY TECHNOLOGY,空中技术优势
CUTSCENE_TERRORKRAWLER,THE CULMINATION OF BOTH TERROR AND ALIEN THREATS,恐怖主义和外星威胁的顶点
DAISY_WHEEL_LEGEND_BACKSPACE,BACKSPACE,BACKSPACE
DAISY_WHEEL_LEGEND_CLOSE,CLOSE,CLOSE
DAISY_WHEEL_LEGEND_NUMBERS,NUMBERS,NUMBERS
DAISY_WHEEL_LEGEND_SEND,SEND,SEND
DAISY_WHEEL_LEGEND_SPACE,SPACE,SPACE
DOOM_METER,DOOM METER,死劫值
ERROR_CONNECTION_FAILED,Connection Failed,连接失败
ERROR_KICKEDBY,Kicked By,你被这个人踢了：
ERROR_KICKEDFROMGAME,You Were Kicked From The Game,你被踢出了游戏
ERROR_MISSING_KEY,Missing Key,密钥丢失
ERROR_NETWORK_DISCONNECT,A network error occurred. You got disconnected.,网络出现错误。你断开了网络。
ERROR_NETWORK_DISCONNECT_INVITE,A network disconnection occurred while you were trying to join a game you were invited to.,邀请你加入游戏的网络已经失去连接。
ERROR_NO_PRIMARY_PLAYER,The system was unable to find a valid user bound to your controller.,由于你控制器的原因，系统无法找到有效玩家。
ERROR_NON_ENGLISH_CHARACTERS,Have you got non english characters in your PC name? This can cause an issue with the server,你的网名是否含有非英文字？这会导致服务器出问题。
ERROR_ONLINE_NOT_AVAILABLE,Online Not Available,无法联网
ERROR_PATCH_REQUIRED,You must update the application to use network features.,你必须升级应用才能使用网络功能。
ERROR_PS_SESSION_FULL,The session you tried to join is full.,Error
ERROR_PS_SESSION_INVITE_PROBLEM,"There was a problem with the""PlayStation 4"" system session that you were invited to.",Error
ERROR_VERSION_MISMATCH_NEWER,VERSION MISMATCH. THIS PLAYER HAS A NEWER BUILD.,版本不匹配。这名玩家用的是较新的版本。
ERROR_VERSION_MISMATCH_OLDER,VERSION MISMATCH. THIS PLAYER HAS AN OLDER BUILD.,版本不匹配。这名玩家用的是较老的版本。
GEN_MESSAGE_JOINING,JOINING...,加入中……
GEN_MESSAGE_WAIT,Please wait...,请等待……
GEN_MESSAGE_WAITINGHOST,WAITING FOR HOST...,等待主机中……
INFESTATION_METER,INFESTATION METER,侵扰度
JOIN_SESSION_FAILED,FAILED TO JOIN SESSION. SESSION NO LONGER EXISTS.,会话已不存在，无法加入。
JOINSCREEN_DROPOUT,DROP OUT,退出
JOINSCREEN_INVITEFRIEND,INVITE FRIEND,邀请朋友
JOINSCREEN_JOIN,JOIN,加入
JOINSCREEN_JOINGAME_TITLE,JOIN GAME,加入游戏
JOINSCREEN_PLAYERCANDROPIN,PLAYERS CAN ALSO DROP IN DURING THE GAME,玩家也能在游戏中途加入
JOINSCREEN_PRESSENTERTOCHAT,PRESS [ENTER] OR GAMEPAD [BACK] BUTTON TO CHAT,按下『ENTER』或手柄上的『BACK』键进行对话
JOINSCREEN_TOJOINGAME,TO JOIN GAME,加入游戏
LOBBY_ARCADE,ARCADE,街机
LOBBY_CUSTOM_MAP,CUSTOM MAP,定制地图
LOBBY_MISSION,MISSION,关卡
LOBBY_N_A,N/A,无
LOBBY_NO_GAMES_AVAILABLE,NO GAMES AVAILABLE,无可用游戏
LOBBY_WORLD_CAMPAIGN,WORLD CAMPAIGN,世界战役
LOC_AUTOSAVE,"This game saves data automatically at certain points.

Do not turn off your ""PlayStation 4"" system while
the following icon is displayed on screen.",Error
LOC_CHAT_RESTRICTION,Chat is disabled on your Sony Entertainment Network account due to chat restrictions.,Error
LOC_CTRL_DISC,Please reconnect the wireless controller,请重新连接无线手柄
LOC_GRAVEYARD_PRESSFIRERESPECT,PRESS FIRE TO PAY RESPECTS,按下开火键致敬
LOC_GRAVEYARD_RESPECT,TO PAY RESPECTS,致敬
LOC_HOST_TYPE_PRIVATE,Private,私人
LOC_HOST_TYPE_PUBLIC,Public,公共
LOC_HOST_TYPE_TITLE,Game type:,游戏类型：
LOC_HUD_AFK,AFK.  YOU ARE NOW SPECTATING.,你现在正在旁观，可以放松双手了。
LOC_HUD_DISCONNECTED,DISCONNECTED,已断连
LOC_HUD_LIVES,LIVES,生命数
LOC_HUD_PRESSTOJOIN,PRESS FIRE TO JOIN GAME,按下开火键加入游戏
LOC_HUD_WAITING_FOR_PLAYERS,Waiting for other players,正等待其它玩家
LOC_HUD_WINS,WINS,获胜
LOC_INVITE_MSG,Let's play Broforce!,开始兄贵军团
LOC_NEW_CHAT,CHAT,聊天
LOC_NEW_JOIN_PLAYERS,PLAYERS,玩家
LOC_PARENTAL_CTRL,Online service is disabled on your Sony Entertainment Network account due to parental control settings.,Error
LOC_PARENTAL_CTRL_FAIL,Failed to join game session due to parental control settings.,由于家长控制的设定，你无法加入游戏会话。
LOC_PS_PLUS,"You need to have ""PlayStation Plus"" to use this online feature.",Error
LOC_PSN_CONNECT,"Please connect to ""PlayStation Network"" to access this feature",Error
LOC_PSN_SIGN_IN,"You have been signed out of ""PlayStation Network"". Online features will not be available until you sign in.",Error
MENU_ARCADE_MODE,ARCADE MODE,街机模式
MENU_AUDIO_ANNOUNCER,ANNOUNCER: {0},旁白：{0}
MENU_AUDIO_MASTER_VOLUME,MASTER VOLUME: {0} %,主音量：{0} %
MENU_AUDIO_MUSIC_VOLUME,MUSIC VOLUME: {0} %,音乐音量：{0} %
MENU_BACK,BACK,返回
MENU_CLEAR_DATA_WARNING,Are you sure you want to clear the data ?,确定要清除数据吗？
MENU_CONTINUE_CAMPAIGN,CONTINUE CAMPAIGN,继续战役
MENU_CONTROLS_CLEAR,CLEAR,清除
MENU_CONTROLS_DASH,DASH: {0},冲刺：{0}
MENU_CONTROLS_DOWN,DOWN: {0},下：{0}
MENU_CONTROLS_FIRE,FIRE: {0},开火：{0}
MENU_CONTROLS_GAMEPAD,SETUP GAMEPAD,设置手柄
MENU_CONTROLS_GAMEPAD_1,SETUP GAMEPAD 1,设置手柄 1
MENU_CONTROLS_GAMEPAD_2,SETUP GAMEPAD 2,设置手柄 2
MENU_CONTROLS_GAMEPAD_3,SETUP GAMEPAD 3,设置手柄 3
MENU_CONTROLS_GAMEPAD_4,SETUP GAMEPAD 4,设置手柄 4
MENU_CONTROLS_GESTURE,GESTURE: {0},姿势：{0}
MENU_CONTROLS_HIGHFIVE,HIGH FIVE/MELEE/USE: {0},击掌、近战、使用：{0}
MENU_CONTROLS_JUMP,JUMP: {0},跳跃：{0}
MENU_CONTROLS_JUMP_KB,JUMP (CAN USE SAME KEY AS UP): {0},跳跃（可设为与上键相同）：{0}
MENU_CONTROLS_KEYBOARD_1,SETUP KEYBOARD 1,设置键盘 1
MENU_CONTROLS_KEYBOARD_2,SETUP KEYBOARD 2,设置键盘 2
MENU_CONTROLS_KEYBOARD_3,SETUP KEYBOARD 3,设置键盘 3
MENU_CONTROLS_KEYBOARD_4,SETUP KEYBOARD 4,设置键盘 4
MENU_CONTROLS_LEFT,LEFT: {0},左：{0}
MENU_CONTROLS_NONE,NONE,无
MENU_CONTROLS_PRESSKEY,PRESS KEY,按键
MENU_CONTROLS_RIGHT,RIGHT: {0},右：{0}
MENU_CONTROLS_SPECIAL,SPECIAL: {0},特殊：{0}
MENU_CONTROLS_START,PAUSE: {0},暂停：{0}
MENU_CONTROLS_UP,UP: {0},上：{0}
MENU_CUSTOM_GAME_ENTER_PASSWORD,Enter Password:,输入密码：
MENU_DIFFICULTY_HARD,HARD,困难
MENU_DIFFICULTY_NORMAL,NORMAL,普通
MENU_ENDGAME_PRESS,PRESS,按下
MENU_ENDGAME_TO_CONTINUE,TO CONTINUE, 继 续
MENU_EXPLANATION_ARCADE,PLAY THROUGH ALL THE LEVELS WITHOUT BEING BURDENED BY OUR OVERBEARING NARRATIVE!,直至通关都可以不用忍受我们傲慢的解说员！
MENU_EXPLANATION_HARD,HARD IS BRUTAL! WE RECOMMEND YOU TRY PLAYING ON NORMAL FIRST!,困难即残酷！我们推荐你先尝试普通难度！
MENU_EXPLANATION_HARD_IRONBRO,"IRONBRO ON HARD IS NOT EVEN REMOTELY FAIR AND WAS NOT DESIGNED TO BE BEATABLE.
PLAY AT YOUR OWN RISK!","硬汉+困难模式就是耍赖皮，它就不是按照可以通关的标准来设计的。
要玩的话后果自负！"
MENU_EXPLANATION_IRONBRO,EACH BRO CAN ONLY DIE ONCE! LOSE ALL BROS AND YOU LOSE! SINGLE PLAYER ONLY,每位兄贵只能死一次！死光了你就输了！仅限单人模式
MENU_EXPLANATION_IRONBRO_MOREUNLOCKS,You need to unlock more bros to unlock IRONBRO Mode!,你需要解锁更多的兄贵来开启硬汉模式！
MENU_EXPLANATION_IRONBRO_ONEMOREUNLOCK,UNLOCK ONE MORE BRO TO UNLOCK IRONBRO MODE!,只需解锁多一名兄贵就能开启硬汉模式！
MENU_HOST_GAME_PASSWORD,PASSWORD:,密码：
MENU_HOST_ONLINE_HOST,HOST!,做主机！
MENU_HOST_ONLINE_ID,ONLINE ID:,网络ID：
MENU_HOST_ONLINE_LIMIT,PLAYER LIMIT:,人数限制：
MENU_HOST_ONLINE_NAME,GAME NAME:,游戏名称：
MENU_HOST_ONLINE_NONAME,NO NAME,没有名称
MENU_HOST_ONLINE_PLAYER_NAME,Name:,名字：
MENU_HOST_ONLINE_PRIVATE,PRIVATE,私人
MENU_HOST_ONLINE_PUBLIC,PUBLIC,公开
MENU_HOST_ONLINE_TYPE,GAME TYPE,游戏类型
MENU_JOIN_ONLINE_CAUTION,"CAUTION, AREAS HAVE BEEN LIBERATED THAT YOU HAVE YET TO VISIT",注意，你还没去过的区域已经被解放了
MENU_JOIN_ONLINE_FAIL_TIMEOUT,"FAILED TO JOIN, CONNECTION TIMED OUT",连接超时，无法加入
MENU_JOIN_ONLINE_FAIL_UNRESPONSIVE,"FAILED TO JOIN, HOST UNRESPONSIVE",主机无响应，无法加入
MENU_JOIN_ONLINE_HEADER_GAME,GAME,游戏
MENU_JOIN_ONLINE_HEADER_HOST,HOST,主机
MENU_JOIN_ONLINE_HEADER_MAP,MAP,地图
MENU_JOIN_ONLINE_HEADER_MODE,MODE,模式
MENU_JOIN_ONLINE_HEADER_PROGRESS,PROGRESS,进度
MENU_JOIN_ONLINE_JOINING,JOINING,加入中
MENU_JOIN_ONLINE_NO_SAVE,CONTINUE WITHOUT SAVING,不保存继续
MENU_JOIN_ONLINE_OPEN_SLOTS,OPEN SLOTS,剩余位置
MENU_JOIN_ONLINE_OVERWRITE,OVERWRITE MY PROGRESS,覆盖我的进度
MENU_JOIN_ONLINE_REFRESH,REFRESH,刷新
MENU_JOIN_ONLINE_REFRESHING,REFRESHING,刷新中
MENU_JOIN_ONLINE_SORT_BY,SORT BY:,排序基准：
MENU_MAIN_CUSTOM_CAMPAIGN,CUSTOM CAMPAIGN ^,自定义战役
MENU_MAIN_CUSTOM_CAMPAIGN_HEADER,CUSTOM CAMPAIGN,自定义战役
MENU_MAIN_EXIT,EXIT,退出
MENU_MAIN_JOIN_ONLINE,JOIN ONLINE ^,参与网战
MENU_MAIN_LEVEL_EDITOR,LEVEL EDITOR,关卡编辑器
MENU_MAIN_OPTIONS,OPTIONS,选项
MENU_MAIN_START,START,开始
MENU_MAIN_VERSUS,VERSUS,对抗
MENU_MODE_IRONBRO,IRON BRO,硬汉模式
MENU_ONOFFLINE_ONLINE_NOT_SUP,ONLINE NOT SUPPORTED,不支持联网
MENU_ONOFFLINE_PLAY_OFFLINE,PLAY OFFLINE,离线游玩
MENU_ONOFFLINE_PLAY_ONLINE,HOST ONLINE,联网做主机
MENU_OPTIONS_AUDIO,AUDIO OPTIONS,音频选项
MENU_OPTIONS_CAMERA_SHAKE,CAMERA SHAKE: {0} %,屏幕震幅：{0} %
MENU_OPTIONS_CLEAR_ARCADE,CLEAR ARCADE PROGRESS,清除街机进度
MENU_OPTIONS_CLEAR_UNLOCKS,CLEAR UNLOCKS,清除解锁进度
MENU_OPTIONS_CONFIGURE_CONTROLS,CONFIGURE CONTROLS,设置控制器
MENU_OPTIONS_DISABLE_DAISYWHEEL,DAISY WHEEL: {0},摇杆键盘：{0}
MENU_OPTIONS_DISABLED,OFF,关
MENU_OPTIONS_ENABLED,ON,开
MENU_OPTIONS_FORCE_HARDMODE,FORCE HARD MODE IN CUSTOM LEVELS: {0},强制开启自定义关卡的困难模式：{0}
MENU_OPTIONS_FULLSCREEN,FULLSCREEN,全屏
MENU_OPTIONS_GERMAN_KEYBOARD,GERMAN KEY LAYOUT: {0},德国键盘布局：{0}
MENU_OPTIONS_GIF_SAVING,[CPU INTENSIVE] SAVE GIFS OF GAMEPLAY: {0},『处理器高耗』将游玩过程存为GIF图片：{0}
MENU_OPTIONS_PLAY_WITH_FNET,PLAY ONLINE WITH FNET: {0},在线游玩时连接监测网：{0}
MENU_OPTIONS_PLAYER_BUBBLES,ALWAYS SHOW PLAYER BUBBLES: {0},一直显示玩家的气泡语：{0}
